RNA site location (hg38)	H276_OLIG	H286_OLIG	H344_OLIG	H372_OLIG	H395_OLIG	H406_OLIG	H412_OLIG	H427_OLIG	H444_OLIG
chr6_134313273	0.31	0.43	0.85	0.78	0.5	0.53	0.7	0.46	0.64
chr6_134313332	0.727	0.7	0.722	0.722	0.722	0.9	0.818	0.35	0.7
chr6_13435562	1	1	1	1	1	1	1	1	1
chr6_13447286	0.188	0.194	0.167	0.214	0.188	0.188	0.143	0.257	0.15
chr6_134529544	0.091	0.185	0.364	0.138	0.185	0.185	0.211	0.235	0.185
chr6_134660302	0.2	0.27	0.16	0.52	0.2	0.08	0.21	0.27	0.24
chr6_134660389	0.95	0.96	0.92	0.96	0.92	0.91	0.93	0.88	1
chr6_134660845	0.11	0.4	0.2	0.38	0.35	0.35	0.35	0.57	0.26
chr6_134687436	0.28	0.44	0.44	0.7	0.57	0.63	0.39	0.37	0.43
chr6_134687444	0.1	0.09	0.19	0.27	0.18	0.35	0.21	0.19	0.19
chr6_134687446	0.18	0.09	0.61	0.2	0.27	0.35	0.12	0.2	0.2
chr6_134687504	0.15	0.23	0.32	0.47	0.33	0.31	0.31	0.23	0.31
chr6_134955976	0.44	0.17	0.19	0.43	0.25	0.32	0.29	0.3	0.31
chr6_134964628	0.91	0.735	0.76	0.78	0.3	0.68	0.71	0.82	0.64
chr6_134984515	1	0.4	1	1	1	1	1	1	1
chr6_134985589	0.78	0.57	0.99	0.97	0.71	0.92	0.84	0.73	0.75
chr6_134990643	0.6	0.39	0.56	0.6	0.51	0.5	0.6	0.12	0.43
chr6_134990648	0.1	0.19	0.21	0.25	0.09	0.19	0.22	0.19	0.1
chr6_134990671	0.56	0.33	0.44	0.56	0.54	0.46	0.53	0.09	0.42
chr6_134990699	0.171	0.158	0.167	0.208	0.167	0.25	0.148	0.167	0.167
chr6_134990715	0.73	0.68	0.45	0.62	0.5	0.57	0.64	0.25	0.59
chr6_134990718	0.261	0.097	0.222	0.261	0.261	0.583	0.273	0.261	0.25
chr6_134991586	1	1	1	1	1	1	1	1	1
chr6_135352703	0.99	0.33	0.59	0.65	0.24	0.7	0.53	0.34	0.81
chr6_135352714	1	0.34	0.615	0.71	0.27	0.68	0.55	0.34	0.84
chr6_135463145	0.12	0.08	0.07	0.08	0.12	0.09	0.08	0.06	0.08
chr6_135948892	1	0.64	0.42	0.64	0.28	0.55	0.84	0.64	0.97
chr6_135948896	1	1	1	0.98	1	0.87	0.83	0.88	0.96
chr6_13619397	1	1	0.529	0.536	1	0.643	0.407	0.467	0.353
chr6_136258588	0.62	0.49	0.56	0.5	0.3	0.69	0.55	0.32	0.4
chr6_136274322	0.17	0.27	0.29	0.33	0.52	0.31	0.4	0.32	0.5
chr6_136340210	0.06	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.13
chr6_136340230	0.024	0.023	0.038	0.051	0.038	0.047	0.034	0.022	0.034
chr6_136340234	0.016	0.024	0.024	0.047	0.024	0.047	0.022	0.023	0.059
chr6_136340252	0.012	0.017	0.031	0.024	0.052	0.021	0.011	0.0225	0.028
chr6_136340296	0.043	0.026	0.022	0.041	0.038	0.054	0.064	0.042	0.049
chr6_136341304	0.12	0.12	0.12	0.09	0.09	0.17	0.12	0.12	0.16
chr6_136346312	0.579	0.5	0.583	0.692	0.6	0.583	0.75	0.4	0.583
chr6_136346528	0.31	0.64	0.58	0.62	0.44	0.67	0.73	0.6	0.57
chr6_136347566	0.09	0.1	0.16	0.15	0.12	0.29	0.17	0.155	0.23
chr6_136347570	0.32	0.27	0.16	0.25	0.24	0.12	0.3	0.22	0.21
chr6_136349447	0.67	0.64	0.29	0.6	0.78	0.6	0.43	0.6	0.6
chr6_136349622	0.15	0.11	0.34	0.14	0.19	0.15	0.24	0.14	0.15
chr6_136349666	0.3	0.24	0.1	0.38	0.26	0.19	0.26	0.17	0.2
chr6_136349667	0.25	0.2	0.06	0.32	0.185	0.2	0.17	0.12	0.1
chr6_136350656	0.61	0.55	0.61	0.38	0.64	1	0.7	0.31	0.4
chr6_136350775	0.286	0.316	0.158	0.375	0.174	0.316	0.375	0.316	0.333
chr6_136350776	0.42	0.22	0.23	0.35	0.38	0.35	0.35	0.32	0.75
chr6_136350814	0.73	0.42	0.33	0.45	0.48	0.33	0.37	0.52	0.92
chr6_136351262	0.16	0.26	0.21	0.2	0.45	0.23	0.2	0.28	0.25
chr6_136353746	0.55	0.39	0.51	0.53	0.67	0.65	0.7	0.44	0.47
chr6_136353747	0.24	0.25	0.29	0.32	0.47	0.33	0.3	0.17	0.19
chr6_136353771	0.33	0.3	0.44	0.42	0.55	0.86	0.41	0.24	0.32
chr6_136353795	0.34	0.38	0.65	0.6	0.46	0.75	0.48	0.2	0.58
chr6_136353803	0.12	0.17	0.255	0.3	0.21	0.42	0.32	0.09	0.45
chr6_136353825	0.2	0.25	0.1	0.19	0.14	0.33	0.195	0.19	0.22
chr6_136353826	0.12	0.15	0.19	0.21	0.12	0.33	0.28	0.07	0.35
chr6_136354134	0.56	0.29	0.54	0.295	0.3	0.47	0.27	0.19	0.21
chr6_136354137	0.19	0.09	0.2	0.18	0.18	0.22	0.08	0.12	0.18
chr6_136354961	0.16	0.16	0.14	0.12	0.15	0.24	0.29	0.16	0.25
chr6_136354979	0.136	0.118	0.292	0.379	0.158	0.273	0.158	0.158	0.12
chr6_136354980	0.182	0.358	0.435	0.333	0.19	0.273	0.2	0.2365	0.192
chr6_136355006	0.318	0.487	0.176	0.348	0.348	0.333	0.455	0.188	0.227
chr6_136355007	0.565	0.3	0.235	0.333	0.391	0.3165	0.333	0.188	0.174
chr6_136355039	0.73	0.68	0.56	0.52	0.73	0.5	0.87	0.37	0.59
chr6_136355160	0.19	0.18	0.62	0.27	0.31	0.42	0.55	0.53	0.365
chr6_136355172	0.227	0.227	0.389	0.583	0.538	0.227	0.167	0.188	0.227
chr6_136356432	0.06	0.089	0.258	0.14	0.087	0.2	0.091	0.091	0.091
chr6_136366835	0.13	0.08	0.18	0.06	0.13	0.15	0.13	0.07	0.13
chr6_136366836	0.11	0.08	0.17	0.09	0.11	0.15	0.12	0.07	0.11
chr6_136366841	0.2	0.14	0.29	0.11	0.1	0.22	0.15	0.14	0.145
chr6_136366843	0.19	0.14	0.27	0.1	0.11	0.22	0.14	0.11	0.06
chr6_136366845	0.2	0.14	0.31	0.12	0.12	0.23	0.15	0.15	0.08
chr6_136366846	0.19	0.14	0.28	0.11	0.1	0.23	0.14	0.12	0.08
chr6_136366849	0.22	0.14	0.31	0.12	0.11	0.26	0.13	0.12	0.08
chr6_136367891	0.19	0.16	0.37	0.12	0.08	0.16	0.1	0.16	0.16
chr6_136368213	0.22	0.09	0.08	0.08	0.11	0.09	0.09	0.07	0.11
chr6_136372061	0.044	0.041	0.101	0.086	0.163	0.083	0.05	0.1	0.08
chr6_136381919	0.63	0.36	0.47	0.18	0.42	0.58	0.42	0.19	0.42
chr6_136392113	0.1	0.06	0.1	0.1	0.09	0.14	0.13	0.1	0.1
chr6_136392132	0.41	0.28	0.18	0.3	0.48	0.3	0.3	0.06	0.52
chr6_136392162	0.022	0.024	0.039	0.041	0.039	0.056	0.039	0.029	0.059
chr6_136392180	0.0595	0.036	0.077	0.09	0.068	0.057	0.041	0.051	0.062
chr6_136392193	0.12	0.08	0.15	0.18	0.12	0.11	0.11	0.12	0.2
chr6_136392202	0.37	0.3	0.33	0.39	0.48	0.17	0.46	0.16	0.47
chr6_136392216	0.2	0.19	0.19	0.31	0.21	0.15	0.24	0.07	0.3
chr6_136392232	0.22	0.24	0.29	0.43	0.4	0.15	0.29	0.13	0.47
chr6_136392234	0.18	0.2	0.26	0.37	0.34	0.14	0.23	0.23	0.23
chr6_136392242	0.14	0.13	0.16	0.19	0.14	0.12	0.24	0.14	0.13
chr6_136392272	0.09	0.09	0.08	0.06	0.08	0.18	0.15	0.09	0.1
chr6_136392274	0.07	0.1	0.17	0.23	0.15	0.15	0.15	0.08	0.24
chr6_136392275	0.13	0.12	0.13	0.24	0.175	0.29	0.27	0.06	0.22
chr6_136399373	0.042	0.021	0.052	0.062	0.042	0.109	0.086	0.02	0.102
chr6_136399375	0.07	0.07	0.07	0.07	0.07	0.1	0.07	0.07	0.07
chr6_136399442	0.18	0.25	0.29	0.3	0.22	0.36	0.32	0.16	0.27
chr6_136399447	0.1	0.1	0.08	0.07	0.12	0.19	0.13	0.1	0.1
chr6_136399455	0.11	0.13	0.21	0.13	0.13	0.15	0.12	0.11	0.19
chr6_136399468	0.13	0.17	0.13	0.21	0.3	0.14	0.28	0.08	0.2
chr6_136399482	0.076	0.065	0.076	0.157	0.068	0.076	0.232	0.131	0.071
chr6_136399500	0.031	0.119	0.156	0.061	0.049	0.182	0.047	0.066	0.071
chr6_136399600	0.122	0.111	0.296	0.196	0.258	0.2	0.2	0.2	0.238
chr6_136399629	0.31	0.37	0.33	0.4	0.31	0.19	0.27	0.31	0.27
chr6_136401098	0.13	0.08	0.09	0.12	0.07	0.13	0.11	0.1	0.07
chr6_136401119	0.066	0.078	0.061	0.04	0.032	0.063	0.07	0.032	0.065
chr6_136401146	0.054	0.095	0.03	0.031	0.049	0.078	0.038	0.049	0.049
chr6_136401152	0.3	0.29	0.15	0.25	0.26	0.28	0.22	0.11	0.24
chr6_136401166	0.15	0.18	0.09	0.13	0.23	0.42	0.15	0.06	0.17
chr6_136401244	0.131	0.057	0.045	0.083	0.083	0.162	0.052	0.083	0.097
chr6_136404894	0.1	0.1	0.08	0.09	0.16	0.11	0.11	0.09	0.1
chr6_136404915	0.25	0.06	0.27	0.21	0.46	0.25	0.17	0.32	0.25
chr6_136406564	0.07	0.07	0.08	0.12	0.07	0.06	0.11	0.07	0.07
chr6_136406578	0.1	0.08	0.1	0.11	0.11	0.11	0.08	0.1	0.09
chr6_136406677	0.177	0.072	0.043	0.09	0.06	0.065	0.05	0.042	0.128
chr6_136406693	0.062	0.038	0.072	0.062	0.043	0.064	0.054	0.062	0.075
chr6_136406697	0.1	0.04	0.06	0.083	0.065	0.064	0.056	0.082	0.073
chr6_136406738	0.058	0.063	0.0755	0.103	0.091	0.083	0.068	0.056	0.086
chr6_136412910	0.75	0.308	0.5	0.708	0.706	0.706	0.667	0.706	0.909
chr6_136415168	0.27	0.15	0.24	0.22	0.26	0.23	0.17	0.19	0.41
chr6_136415195	0.276	0.317	0.273	0.551	0.281	0.2785	0.143	0.2	0.552
chr6_136415221	0.09	0.07	0.19	0.16	0.14	0.14	0.14	0.18	0.11
chr6_136433756	0.29	0.19	0.48	0.68	0.7	0.45	0.6	0.31	0.42
chr6_136433790	0.57	0.76	0.53	0.76	0.74	1	0.8	0.43	0.61
chr6_136433822	0.72	0.65	0.5	0.61	0.7	0.86	0.84	0.47	0.73
chr6_136433826	0.23	0.23	0.36	0.48	0.52	0.57	0.5	0.38	0.42
chr6_136433838	0.12	0.28	0.429	0.381	0.286	0.286	0.176	0.286	0.52
chr6_136433955	0.62	0.8	0.71	0.43	0.81	0.8	0.5	0.4	0.56
chr6_136433965	0.52	0.67	0.62	0.45	0.55	0.485	0.45	0.4	0.44
chr6_136437030	0.58	0.38	0.43	0.62	0.34	0.33	0.29	0.48	0.29
chr6_136437042	0.44	0.26	0.32	0.32	0.19	0.39	0.32	0.32	0.18
chr6_136437060	0.53	0.38	0.37	0.31	0.21	0.41	0.46	0.18	0.29
chr6_136437070	0.109	0.102	0.143	0.182	0.132	0.4	0.16	0.143	0.143
chr6_136437082	0.263	0.271	0.138	0.097	0.196	0.312	0.375	0.2295	0.154
chr6_136437114	0.23	0.054	0.107	0.219	0.2	0.2	0.13	0.2	0.257
chr6_136437119	0.59	0.51	0.21	0.29	0.36	0.47	0.75	0.33	0.62
chr6_136437136	0.55	0.46	0.455	0.41	0.45	0.36	0.56	0.29	0.53
chr6_136437138	0.61	0.42	0.39	0.34	0.37	0.33	0.35	0.3	0.45
chr6_136437154	0.41	0.49	0.2	0.26	0.6	0.27	0.54	0.31	0.54
chr6_136437159	0.25	0.17	0.19	0.28	0.15	0.195	0.2	0.14	0.36
chr6_136437217	0.44	0.3	0.33	0.3	0.25	0.3	0.17	0.3	0.43
chr6_136437259	0.71	0.47	0.41	0.56	0.47	0.47	0.29	0.47	0.84
chr6_136437294	0.39	0.35	0.35	0.24	0.33	0.35	0.38	0.25	0.58
chr6_136452691	0.32	0.47	0.32	0.16	0.32	0.29	0.52	0.32	0.43
chr6_136452735	0.214	0.214	0.214	0.13	0.19	0.267	0.13	0.214	0.267
chr6_136452741	0.4	0.2	0.305	0.31	0.23	0.18	0.3	0.33	0.33
chr6_136452844	0.085	0.097	0.097	0.083	0.096	0.097	0.176	0.111	0.23
chr6_136454367	0.31	0.24	0.43	0.43	0.46	0.59	0.5	0.35	0.36
chr6_136454383	0.1	0.105	0.11	0.12	0.08	0.1	0.06	0.11	0.11
chr6_136454385	0.18	0.1	0.15	0.13	0.15	0.08	0.12	0.08	0.11
chr6_136454390	0.8	0.79	0.83	0.76	0.91	0.93	0.82	0.76	0.81
chr6_136454391	0.87	0.89	0.93	0.85	0.91	0.91	0.93	0.83	0.9
chr6_136454431	1	0.99	0.91	0.98	1	1	1	0.92	1
chr6_136454787	0.1	0.161	0.273	0.136	0.194	0.188	0.353	0.182	0.267
chr6_136454790	0.3	0.357	0.312	0.364	0.312	0.312	0.3	0.261	0.4
chr6_136454816	0.42	0.29	0.6	0.52	0.7	0.4	0.38	0.27	0.38
chr6_136454837	0.75	0.84	0.83	0.81	0.83	0.78	0.5	0.46	0.64
chr6_136454855	0.47	0.5	0.64	0.67	0.59	0.5	0.45	0.5	0.5
chr6_136454872	0.6	0.38	0.82	0.8	0.785	0.43	0.9	0.77	0.92
chr6_136454880	0.35	0.29	0.56	0.5	0.67	0.5	0.67	0.5	0.4
chr6_136469474	0.032	0.025	0.0365	0.041	0.047	0.03	0.056	0.025	0.07
chr6_136469479	0.019	0.02	0.021	0.021	0.022	0.021	0.03	0.015	0.041
chr6_136469484	0.026	0.023	0.03	0.03	0.031	0.03	0.038	0.025	0.054
chr6_136470591	0.042	0.046	0.035	0.078	0.041	0.132	0.114	0.048	0.047
chr6_136470593	0.052	0.052	0.052	0.117	0.042	0.127	0.113	0.036	0.052
chr6_136483148	0.13	0.14	0.16	0.1	0.13	0.09	0.12	0.08	0.1
chr6_136484894	0.086	0.035	0.058	0.143	0.086	0.086	0.122	0.086	0.108
chr6_136484953	0.13	0.06	0.25	0.15	0.23	0.12	0.16	0.19	0.1
chr6_136487532	0.48	0.39	0.67	0.49	0.5	0.41	0.6	0.73	0.4
chr6_136487584	0.85	0.72	0.9	0.85	0.9	0.88	0.8	0.75	0.93
chr6_136487585	0.44	0.45	0.63	0.41	0.36	0.44	0.29	0.45	0.31
chr6_136487587	0.55	0.5	0.69	0.53	0.51	0.65	0.55	0.44	0.59
chr6_136487599	0.18	0.16	0.32	0.27	0.26	0.22	0.16	0.14	0.2
chr6_136487609	0.08	0.13	0.16	0.08	0.06	0.14	0.13	0.16	0.13
chr6_136487623	0.36	0.18	0.52	0.4	0.46	0.27	0.36	0.24	0.36
chr6_136487640	0.031	0.049	0.128	0.097	0.048	0.096	0.09	0.047	0.151
chr6_136487647	0.41	0.43	0.595	0.6	0.62	0.71	0.59	0.54	0.73
chr6_136487657	0.77	0.71	0.86	0.67	0.85	0.82	0.84	0.77	0.9
chr6_136487665	0.17	0.21	0.23	0.22	0.25	0.3	0.11	0.21	0.18
chr6_136488512	0.67	0.42	0.53	0.91	0.81	0.62	0.57	0.81	0.5
chr6_136488541	0.4	0.44	0.26	0.33	0.44	0.42	0.65	0.2	0.48
chr6_136488583	0.24	0.27	0.29	0.4	0.25	0.28	0.24	0.39	0.43
chr6_136488609	0.32	0.13	0.27	0.45	0.29	0.38	0.11	0.18	0.27
chr6_136498994	0.27	0.29	0.35	0.38	0.4	0.27	0.46	0.29	0.56
chr6_136498998	0.08	0.09	0.13	0.2	0.1	0.17	0.12	0.11	0.17
chr6_136499005	0.28	0.27	0.28	0.35	0.275	0.13	0.4	0.14	0.27
chr6_136499074	0.46	0.35	0.24	0.28	0.33	0.23	0.48	0.36	0.42
chr6_136499138	0.17	0.2	0.19	0.14	0.14	0.165	0.29	0.16	0.16
chr6_136499139	0.14	0.1	0.24	0.24	0.24	0.25	0.17	0.25	0.28
chr6_136499781	0.09	0.17	0.19	0.1	0.11	0.19	0.11	0.11	0.11
chr6_136499880	0.18	0.32	0.35	0.28	0.41	0.22	0.47	0.335	0.42
chr6_136499965	0.12	0.29	0.44	0.24	0.39	0.34	0.44	0.26	0.55
chr6_136503416	0.13	0.12	0.16	0.15	0.11	0.15	0.24	0.15	0.39
chr6_136504828	0.18	0.21	0.17	0.35	0.19	0.235	0.41	0.26	0.33
chr6_136504851	0.24	0.17	0.12	0.22	0.08	0.1	0.29	0.19	0.13
chr6_136505273	0.24	0.11	0.39	0.31	0.1	0.24	0.15	0.24	0.27
chr6_136505275	0.16	0.26	0.51	0.49	0.31	0.14	0.28	0.295	0.7
chr6_136505277	0.42	0.3	0.58	0.53	0.39	0.3	0.4	0.38	0.82
chr6_136508123	0.185	0.185	0.143	0.225	0.174	0.185	0.231	0.182	0.25
chr6_136508159	0.147	0.139	0.15	0.082	0.147	0.147	0.304	0.214	0.097
chr6_136508201	0.216	0.35	0.292	0.214	0.158	0.219	0.133	0.28	0.222
chr6_136508242	0.37	0.36	0.35	0.33	0.29	0.88	0.21	0.17	0.53
chr6_136508243	0.1	0.108	0.174	0.154	0.154	0.5	0.129	0.154	0.25
chr6_136508264	0.22	0.12	0.33	0.24	0.24	0.5	0.13	0.19	0.2
chr6_136509452	0.099	0.12	0.071	0.114	0.126	0.108	0.025	0.036	0.143
chr6_136509470	0.042	0.063	0.034	0.034	0.042	0.033	0.043	0.034	0.047
chr6_136509621	0.055	0.05	0.213	0.047	0.115	0.104	0.104	0.104	0.161
chr6_136509683	0.54	0.54	0.67	0.72	0.52	0.42	0.69	0.72	0.78
chr6_136509706	0.07	0.08	0.2	0.15	0.29	0.19	0.34	0.4	0.19
chr6_136509812	0.22	0.15	0.13	0.32	0.33	0.23	0.21	0.2	0.53
chr6_136509985	0.66	0.67	0.67	0.61	0.74	0.71	0.83	0.81	0.75
chr6_136510014	0.5	0.42	0.53	0.5	0.38	0.6	0.55	0.18	0.88
chr6_136510080	0.05	0.044	0.125	0.159	0.196	0.125	0.125	0.13	0.054
chr6_136510115	0.16	0.21	0.16	0.24	0.09	0.33	0.13	0.17	0.18
chr6_136510119	0.1	0.14	0.14	0.08	0.37	0.22	0.2	0.14	0.13
chr6_136510139	0.24	0.15	0.26	0.13	0.38	0.17	0.36	0.22	0.16
chr6_136510140	0.145	0.15	0.11	0.07	0.19	0.14	0.17	0.13	0.18
chr6_136510166	0.13	0.12	0.28	0.17	0.2	0.28	0.18	0.17	0.27
chr6_136513120	0.11	0.11	0.11	0.07	0.11	0.1	0.17	0.11	0.12
chr6_136516203	0.096	0.056	0.188	0.143	0.226	0.096	0.096	0.057	0.079
chr6_136516253	0.103	0.057	0.063	0.154	0.1	0.08	0.118	0.038	0.069
chr6_136516254	0.092	0.054	0.048	0.088	0.075	0.075	0.079	0.036	0.075
chr6_136535103	0.28	0.14	0.53	0.32	0.21	0.27	0.36	0.3	0.4
chr6_136535104	0.32	0.43	0.53	0.46	0.15	0.29	0.43	0.43	0.46
chr6_136535117	0.29	0.35	0.6	0.395	0.41	0.47	0.38	0.35	0.8
chr6_136535162	0.16	0.39	0.54	0.48	0.35	0.26	0.61	0.38	0.62
chr6_136535181	0.61	0.86	0.77	0.7	0.74	0.74	0.87	0.63	0.74
chr6_136535203	0.31	0.55	0.61	0.62	0.62	0.23	0.47	0.63	0.67
chr6_136535208	0.4	0.46	0.58	0.5	0.35	0.445	0.43	0.4	0.67
chr6_136535236	0.083	0.068	0.55	0.222	0.257	0.25	0.15	0.286	0.304
chr6_136535378	0.6	0.72	0.45	0.79	0.83	0.45	0.81	0.33	1
chr6_136535413	0.654	0.524	0.643	0.643	0.615	0.4	0.867	0.643	0.917
chr6_136544860	0.143	0.15	0.188	0.176	0.176	0.176	0.179	0.133	0.2
chr6_13689500	0.24	0.29	0.25	0.29	0.29	0.67	0.5	0.43	0.29
chr6_13689501	0.368	0.368	0.533	0.467	0.3	0.25	0.368	0.417	0.25
chr6_13689534	0.35	0.25	0.17	0.33	0.32	0.65	0.12	0.29	0.3
chr6_13689568	0.41	0.23	0.74	0.29	0.63	0.88	0.27	0.61	0.52
chr6_137199259	0.64	0.8	0.73	0.73	0.7	0.67	0.92	0.73	0.75
chr6_137199335	0.33	0.24	0.45	0.51	0.33	0.3	0.24	0.47	0.33
chr6_137199337	0.15	0.13	0.31	0.18	0.22	0.45	0.15	0.185	0.19
chr6_137199381	0.89	0.62	0.82	0.71	0.64	0.83	0.86	0.64	0.55
chr6_137199382	0.36	0.47	0.57	0.67	0.73	0.52	0.31	0.36	0.6
chr6_137217989	0.36	0.33	0.46	0.66	0.47	0.5	0.4	0.5	0.68
chr6_138171263	1	1	1	1	1	1	1	1	1
chr6_138196185	1	1	1	1	1	1	1	1	1
chr6_138213440	0.089	0.117	0.117	0.176	0.283	0.14	0.036	0.117	0.059
chr6_138233669	0.16	0.27	0.32	0.42	0.41	0.58	0.33	0.21	0.62
chr6_138243718	0.12	0.06	0.08	0.16	0.12	0.1	0.15	0.07	0.09
chr6_138243719	0.27	0.17	0.23	0.29	0.31	0.26	0.23	0.23	0.23
chr6_138246535	1	0.93	1	1	1	0.44	1	0.64	1
chr6_138248660	0.16	0.23	0.14	0.27	0.165	0.15	0.21	0.17	0.13
chr6_138248679	0.08	0.21	0.12	0.25	0.14	0.13	0.1	0.15	0.17
chr6_138248683	0.31	0.52	0.48	0.31	0.14	0.26	0.32	0.35	0.29
chr6_138248695	0.118	0.171	0.312	0.25	0.136	0.292	0.091	0.107	0.286
chr6_138248706	0.171	0.14	0.29	0.259	0.217	0.217	0.222	0.115	0.217
chr6_138248758	0.133	0.195	0.257	0.205	0.143	0.375	0.109	0.1765	0.158
chr6_138249503	0.6	0.47	0.7	0.47	0.4	0.64	0.86	0.62	0.71
chr6_138265974	0.35	0.19	0.36	0.32	0.28	0.34	0.62	0.67	0.33
chr6_138266082	0.72	0.59	0.59	0.6	0.79	0.65	0.58	0.59	0.57
chr6_138289054	0.58	0.73	0.8	0.58	0.83	0.69	0.45	0.67	0.27
chr6_138289083	0.77	0.92	1	0.87	0.79	0.92	0.73	0.8	0.95
chr6_138289133	0.35	0.38	0.64	0.32	0.37	0.26	0.42	0.36	0.28
chr6_138289142	0.34	0.33	0.62	0.49	0.47	0.25	0.62	0.465	0.46
chr6_138289153	0.17	0.27	0.28	0.3	0.25	0.62	0.16	0.29	0.17
chr6_138289181	0.43	0.39	0.53	0.73	0.52	0.37	0.35	0.31	0.38
chr6_138326392	0.41	0.22	0.39	0.33	0.29	0.17	0.44	0.33	0.33
chr6_138339187	0	0.024	0	0.028	0	0	0	0	0
chr6_138344631	0.93	0.71	0.77	0.79	0.85	0.86	0.6	0.78	1
chr6_142862347	0.72	0.71	0.26	0.59	0.6	0.54	0.69	0.32	0.28
chr6_142862388	0.72	0.86	0.9	1	0.67	0.86	0.55	0.7	0.6
chr6_142936289	0.143	0.238	0.273	0.476	0.273	0.35	0.273	0.333	0.225
chr6_142936304	0.381	0.182	0.381	0.773	0.381	0.667	0.3	0.273	0.6
chr6_142936341	0.417	0.3	0.357	0.5	0.312	0.333	0.327	0.286	0.321
chr6_142936357	0.231	0.417	0.417	0.857	0.706	0.615	0.516	0.417	0.625
chr6_143054188	0.22	0.23	0.22	0.16	0.22	0.45	0.24	0.12	0.13
chr6_143454702	0.87	0.94	1	1	0.95	1	1	1	1
chr6_143454706	0.41	0.53	0.71	0.73	0.47	0.94	0.33	0.5	0.59
chr6_143454713	0.44	0.44	0.67	0.57	0.39	0.35	0.73	0.39	0.5
chr6_143454735	0.27	0.47	0.61	0.74	0.41	0.44	0.21	0.18	0.56
chr6_143486901	0.052	0.056	0.079	0.1	0.079	0.061	0.121	0.079	0.138
chr6_143486927	0.19	0.17	0.35	0.32	0.07	0.22	0.2	0.06	0.23
chr6_143486929	0	0	0	0	0.042	0	0	0	0
chr6_143487351	0.46	0.33	0.47	0.5	0.5	0.68	0.7	0.5	0.59
chr6_147344796	1	1	1	1	1	1	1	1	1
chr6_148353939	1	1	1	1	0.739	1	1	1	1
chr6_148354122	0.2	0.12	0.2	0.23	0.12	0.36	0.14	0.2	0.2
chr6_148400571	0.44	0.56	0.64	0.41	0.41	0.39	0.6	0.3	0.43
chr6_148400572	0.2	0.24	0.167	0.167	0.15	0.214	0.143	0.167	0.158
chr6_148400595	0.28	0.34	0.43	0.15	0.2	0.26	0.34	0.3	0.5
chr6_148400654	0.2	0.19	0.24	0.32	0.36	0.3	0.27	0.285	0.58
chr6_148400670	0.59	0.54	0.28	0.34	0.5	0.24	0.43	0.465	0.72
chr6_148401155	0.146	0.083	0.1535	0.1	0.222	0.265	0.161	0.125	0.222
chr6_148401186	0.3	0.18	0.37	0.38	0.32	0.31	0.19	0.305	0.14
chr6_148420936	0.29	0.4	0.4	0.36	0.19	1	0.45	0.4	0.57
chr6_148420963	0.18	0.42	0.64	0.54	0.24	0.81	0.86	0.5	0.39
chr6_148421005	0.132	0.132	0.182	0.146	0.094	0.212	0.117	0.132	0.124
chr6_148421034	0.155	0.155	0.14	0.17	0.155	0.23	0.06	0.155	0.155
chr6_148421150	0.29	0.46	0.89	0.5	0.37	0.1	0.38	0.38	0.38
chr6_148429658	0.31	0.56	0.2	0.31	0.48	0.27	0.17	0.31	0.52
chr6_148429663	0.23	0.36	0.21	0.37	0.14	0.43	0.15	0.295	0.58
chr6_148430600	0.41	0.29	0.26	0.48	0.16	0.56	0.48	0.42	0.68
chr6_148442327	0.176	0.4	0.3	0.5	0.3	0.364	0.294	0.332	0.538
chr6_148451542	0.09	0.14	0.15	0.2	0.24	0.12	0.16	0.145	0.08
chr6_148451547	1	1	0.533	1	0.45	0.548	0.339	0.533	1
chr6_148451569	0.08	0.15	0.11	0.12	0.1	0.08	0.17	0.11	0.11
chr6_148451904	1	1	0.62	0.44	0.29	0.45	0.62	0.62	1
chr6_148471383	0.66	0.62	0.33	0.38	0.34	0.48	0.53	0.33	0.33
chr6_148471386	0.64	0.6	0.29	0.46	0.33	0.53	0.5	0.46	0.34
chr6_148484822	0.31	0.25	0.47	0.32	0.31	0.63	0.85	0.37	0.42
chr6_148484876	0.21	0.15	0.16	0.1	0.19	0.48	0.19	0.19	0.19
chr6_148491453	0.21	0.64	0.42	0.31	0.41	0.24	0.2	0.31	0.31
chr6_148491479	0.2	0.238	0.238	0.188	0.238	0.353	0.188	0.35	0.267
chr6_148491492	0.385	0.07	0.38	0.39	0.4	0.64	0.58	0.27	0.32
chr6_148491504	0.097	0.235	0.261	0.235	0.235	0.211	0.308	0.125	0.235
chr6_148491535	0.26	0.33	0.23	0.62	0.325	0.36	0.32	0.37	0.19
chr6_148492808	0.68	0.82	0.73	0.86	0.75	0.78	0.55	0.54	0.67
chr6_148496848	0.312	0.176	0.333	0.214	0.429	0.636	0.167	0.312	0.312
chr6_148542693	1	1	1	1	1	1	1	1	1
chr6_149334630	0.58	0.45	0.4	0.67	0.83	0.24	0.58	0.27	0.56
chr6_149348121	0.294	0.294	0.174	0.417	0.35	0.107	0.2	0.294	0.4
chr6_149348191	0.24	0.2	0.12	0.22	0.09	0.13	0.1	0.09	0.21
chr6_149348211	0.181	0.079	0.195	0.321	0.25	0.056	0.167	0.114	0.267
chr6_149348268	0.12	0.23	0.17	0.14	0.23	0.16	0.22	0.2	0.11
